,Data,,,,,,,,,,,,,,,,,,,,,
State,Average of % smokers,Average of # Full-service restaurants,Average of Fast-food expenditures per capita,Average of % Households no car & <1 mile to store,Average of % eating few fruits and vegetables,Average of Lbs per capita meat&poultry,Average of Adult obesity rate,"Average of Rec & fitness facilities/1,000 pop ",Average of Lbs per capita solid fats,Average of Median household income,Average of % who do not exercise,"Average of Chip & pretzel sales tax, vending",Average of Lbs per capita pkg sweetsnacks,Average of Gals per capita soft drinks,"Average of Fast-food restaurants/1,000 pop",Average of Lbs per capita prepared meals,Average of Relative price of sweetened drinks,Average of Poverty rate,Average of Price ratio fruit/pkg sweet snacks,Average of Price ratio fruit/pkg savory snacks,Average of Price ratio green-leafy/starchy veg,Average of % Students reduce-price-lunch eligible
Alabama,30.22597015,40.56060606,470,6.325671642,49.12985075,74.76119403,33.3358209,0.055149254,17.82089552,37179.38806,27.47462687,0,113.0298507,77.14925373,0.635909091,293.2089552,0.99761194,19.11343284,0.339104478,0.380298507,1.597910448,9.297014925
Alaska,20.74,22.34782609,454,3.66,35.19230769,68.59,30.58518519,0.071192308,18.88,56616.57692,21.41851852,0,116.3,63.87,0.701052632,299.71,0.99,12.87307692,0.33,0.38,1.55,8.196153846
Arizona,26.79,260.8,463.04,4.572,37.76,55,25.32666667,0.062866667,17,42725.86667,24.10666667,0,109,60,0.582866667,299,0.99,18.38,0.33,0.4,1.35,11.04666667
Arkansas,28.91893333,25.49333333,446,5.33,54.45866667,68.66666667,30.06133333,0.074533333,16.94666667,34993.57333,25.47866667,0,104.48,70.46666667,0.553,277.4666667,0.998266667,19.79733333,0.306933333,0.357466667,1.6752,10.37733333
California,13.97896552,477.6666667,534,2.343793103,36.23103448,76.82758621,23.34137931,0.114017241,15.60344828,54452.51724,22.47586207,0.0625,112.3103448,57.96551724,0.688517241,301.6206897,1.153448276,14.15517241,0.297586207,0.341896552,1.343793103,9.5
Colorado,19.13984127,68.12698413,529,2.659206349,28.6875,63.09375,18.4296875,0.122703125,17.578125,49948.89063,20.6484375,0,110.15625,58.84375,0.864789474,289.75,1.059375,13.0546875,0.33578125,0.39421875,1.44828125,9.4015625
Connecticut,7.16125,400.625,403,2.28,17.5875,54.25,22.0375,0.148,20.25,68585.125,22.225,0,129.5,56.375,0.55175,322,1.02625,8.2625,0.37875,0.445,1.19375,5.15
Delaware,13.92333333,215.3333333,444,3.21,31.36666667,107.6666667,28.93333333,0.117333333,18,55402.33333,24.93333333,0,132.6666667,56.33333333,0.667333333,331.3333333,1.026666667,10.76666667,0.343333333,0.4,1.516666667,6.333333333
District of Columbia,1.18,645,463.04,0.91,48.3,99,22,0.123,16,58553,23.5,0.0575,122,57,1.257,320,1.04,16.9,0.35,0.4,1.53,4.2
Florida,20.72373134,201.1641791,415,3.698507463,38.24477612,61.2238806,26.81641791,0.080552239,17.32835821,43843.08955,25.13731343,0.06,104.9253731,64.65671642,0.509507463,291.9850746,0.967313433,16.13880597,0.343134328,0.386716418,1.532985075,9.659701493
Georgia,27.35025157,45.48051948,538,5.838993711,49.10062893,90.87421384,29.61698113,0.07345283,16.6918239,41185.6478,26.59937107,0.04,104.3396226,66.32075472,0.605703947,282.9433962,0.990440252,19.12327044,0.342327044,0.389496855,1.525408805,10.13647799
Hawaii,20.74,288.5,708,3.66,28.9,68.59,21.62,0.0592,18.88,62015.75,23.72,0,116.3,63.87,1.01175,299.71,0.99,10.175,0.33,0.38,1.55,11.825
Idaho,24.55681818,26.65116279,372,1.956136364,30.54318182,62.04545455,26.59090909,0.121772727,19.54545455,44285.77273,22.97727273,0,129.5454545,57.22727273,0.618116279,314.6818182,1.071363636,13.61818182,0.316818182,0.366818182,1.612727273,12.29772727
Illinois,15.86137255,85.6372549,472,2.91254902,27.76470588,72.68627451,27.05882353,0.101186275,21.8627451,47513.03922,23.91470588,0,120.7352941,69.20588235,0.57396,312.0392157,0.961960784,12.80196078,0.32745098,0.369411765,1.617647059,7.024509804
Indiana,15.18858696,46.66304348,520,2.864021739,25.95652174,70.41304348,28.96086957,0.082097826,20.17391304,47916.01087,24.30652174,0.06,121.0543478,70.90217391,0.614826087,311.2065217,0.960652174,12.08913043,0.322826087,0.368369565,1.584782609,8.775
Iowa,16.62656566,24.06060606,398,2.553636364,23.76868687,64.25252525,27.73434343,0.091434343,20.07070707,46541.33333,23.21818182,0.05,121.0707071,64.92929293,0.540673469,305.8989899,0.974646465,11.39494949,0.333232323,0.377878788,1.576464646,8.948484848
Kansas,19.54428571,19.38461538,485,2.45352381,29.8,62.24761905,28.88761905,0.062895238,20.6,44032.28571,24.17238095,0,121.3333333,64.43809524,0.572510638,300.4285714,0.972190476,11.79333333,0.317904762,0.359714286,1.548095238,13.24666667
Kentucky,31.11016667,20.68376068,527,6.029833333,45.9275,71.2,31.175,0.063966667,18.28333333,37310.90833,26.43083333,0.06,115.225,78.43333333,0.564571429,296.925,0.984833333,20.26833333,0.338583333,0.38,1.590083333,9.005
Louisiana,28.045,39.125,475,6.47734375,58.2734375,69,30.7203125,0.057484375,16,39250.04688,26.39375,0,101.265625,69.84375,0.536634921,267.125,1.00421875,20.0953125,0.31265625,0.36421875,1.76296875,8.2421875
Maine,22.72125,90.6875,416,3.695,31.30625,59,25.8875,0.151625,24,43519.4375,23.38125,0.05,118,59,0.62525,299,0.92,13.74375,0.38,0.45,1.86,8.70625
Maryland,11.54,126.5416667,458,2.88375,24.6125,96.75,27.6125,0.148416667,16.25,65052.375,24.45416667,0,124.8333333,58.16666667,0.774125,325.7083333,1.018333333,9.575,0.345416667,0.40625,1.487916667,7.2375
Massachusetts,7.835714286,404.9285714,515,2.233571429,21.77857143,37.78571429,22.10714286,0.229142857,19.64285714,61660,22.97857143,0,118.6428571,57.28571429,0.805142857,303.2142857,0.94,10.09285714,0.352142857,0.407857143,1.432142857,5.478571429
Michigan,19.3626506,82.39759036,430,3.254457831,30.71325301,70.40963855,29.4939759,0.11286747,21.40963855,43702.57831,24.72409639,0,121.1927711,70.39759036,0.567487805,311.9879518,0.96,14.75421687,0.32,0.363975904,1.606144578,9.355421687
Minnesota,17.80735632,41.10344828,439,3.00137931,24.19310345,64.05747126,27.24367816,0.110563218,20.12643678,49512,22.17126437,0.065,121.1264368,64.87356322,0.545287356,305.4252874,0.974367816,10.52643678,0.33183908,0.376206897,1.573678161,10.49885057
Mississippi,34.10682927,18.82051282,442,7.055853659,66.64567901,70.2804878,34.39390244,0.044219512,17.63414634,34146.60976,27.79878049,0.01,113.1585366,81.86585366,0.571101266,292.7926829,0.999268293,23.70243902,0.338170732,0.378170732,1.614146341,8.09382716
Missouri,25.26113043,37.65217391,491,3.956347826,34.98173913,64.3826087,29.79913043,0.096782609,20.05217391,39370.49565,24.17043478,0,120.8695652,65.13043478,0.523390909,305.2347826,0.974869565,16.51304348,0.332521739,0.376869565,1.575043478,10.27913043
Montana,29.07267857,18.2962963,403,3.125892857,28.94642857,69,24.58571429,0.151,18,39544.96429,23.09464286,0,111,58,0.773583333,283,1.11,15.28571429,0.34,0.39,1.52,9.125
